"TIME","GEO","UNIT","INDIC_EN","Value"
"2007","Austria","Percentage","Share of renewable energy in gross final energy consumption","27,0"
"2007","Austria","Percentage","Share of renewable energy in transport","8,2"
"2007","Austria","Percentage","Share of renewable energy in electricity","64,0"
"2007","Austria","Percentage","Share of renewable energy in heating and cooling","25,2"
"2007","Poland","Percentage","Share of renewable energy in gross final energy consumption","6,9"
"2007","Poland","Percentage","Share of renewable energy in transport","1,6"
"2007","Poland","Percentage","Share of renewable energy in electricity","3,5"
"2007","Poland","Percentage","Share of renewable energy in heating and cooling","10,5"
"2007","Portugal","Percentage","Share of renewable energy in gross final energy consumption","21,9"
"2007","Portugal","Percentage","Share of renewable energy in transport","2,4"
"2007","Portugal","Percentage","Share of renewable energy in electricity","32,3"
"2007","Portugal","Percentage","Share of renewable energy in heating and cooling","35,0"
"2007","Romania","Percentage","Share of renewable energy in gross final energy consumption","18,3"
"2007","Romania","Percentage","Share of renewable energy in transport","2,4"
"2007","Romania","Percentage","Share of renewable energy in electricity","28,1"
"2007","Romania","Percentage","Share of renewable energy in heating and cooling","19,4"
"2007","Slovenia","Percentage","Share of renewable energy in gross final energy consumption","15,6"
"2007","Slovenia","Percentage","Share of renewable energy in transport","1,5"
"2007","Slovenia","Percentage","Share of renewable energy in electricity","27,7"
"2007","Slovenia","Percentage","Share of renewable energy in heating and cooling","20,4"
"2007","Slovakia","Percentage","Share of renewable energy in gross final energy consumption","7,8"
"2007","Slovakia","Percentage","Share of renewable energy in transport","4,0"
"2007","Slovakia","Percentage","Share of renewable energy in electricity","16,5"
"2007","Slovakia","Percentage","Share of renewable energy in heating and cooling","6,2"
"2007","Finland","Percentage","Share of renewable energy in gross final energy consumption","29,6"
"2007","Finland","Percentage","Share of renewable energy in transport","1,0"
"2007","Finland","Percentage","Share of renewable energy in electricity","25,5"
"2007","Finland","Percentage","Share of renewable energy in heating and cooling","41,4"
"2007","Sweden","Percentage","Share of renewable energy in gross final energy consumption","44,2"
"2007","Sweden","Percentage","Share of renewable energy in transport","8,0"
"2007","Sweden","Percentage","Share of renewable energy in electricity","53,2"
"2007","Sweden","Percentage","Share of renewable energy in heating and cooling","58,7"
"2007","United Kingdom","Percentage","Share of renewable energy in gross final energy consumption","1,8"
"2007","United Kingdom","Percentage","Share of renewable energy in transport","1,1"
"2007","United Kingdom","Percentage","Share of renewable energy in electricity","4,8"
"2007","United Kingdom","Percentage","Share of renewable energy in heating and cooling","1,0"
"2007","Iceland","Percentage","Share of renewable energy in gross final energy consumption","71,4"
"2007","Iceland","Percentage","Share of renewable energy in transport","0,1"
"2007","Iceland","Percentage","Share of renewable energy in electricity","113,7"
"2007","Iceland","Percentage","Share of renewable energy in heating and cooling","58,6"
"2007","Norway","Percentage","Share of renewable energy in gross final energy consumption","60,1"
"2007","Norway","Percentage","Share of renewable energy in transport","3,7"
"2007","Norway","Percentage","Share of renewable energy in electricity","98,5"
"2007","Norway","Percentage","Share of renewable energy in heating and cooling","29,3"
"2007","Montenegro","Percentage","Share of renewable energy in gross final energy consumption","32,9"
"2007","Montenegro","Percentage","Share of renewable energy in transport","1,0"
"2007","Montenegro","Percentage","Share of renewable energy in electricity","37,6"
"2007","Montenegro","Percentage","Share of renewable energy in heating and cooling","49,1"
"2007","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in gross final energy consumption","15,0"
"2007","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in transport","0,3"
"2007","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in electricity","13,7"
"2007","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in heating and cooling","22,5"
"2007","Albania","Percentage","Share of renewable energy in gross final energy consumption","32,7"
"2007","Albania","Percentage","Share of renewable energy in transport","0,0"
"2007","Albania","Percentage","Share of renewable energy in electricity","79,6"
"2007","Albania","Percentage","Share of renewable energy in heating and cooling","33,1"
"2007","Serbia","Percentage","Share of renewable energy in gross final energy consumption","14,4"
"2007","Serbia","Percentage","Share of renewable energy in transport","0,7"
"2007","Serbia","Percentage","Share of renewable energy in electricity","24,8"
"2007","Serbia","Percentage","Share of renewable energy in heating and cooling","13,2"
"2008","European Union (current composition)","Percentage","Share of renewable energy in gross final energy consumption","11,1"
"2008","European Union (current composition)","Percentage","Share of renewable energy in transport","3,9"
"2008","European Union (current composition)","Percentage","Share of renewable energy in electricity","17,0"
"2008","European Union (current composition)","Percentage","Share of renewable energy in heating and cooling","13,3"
"2008","Belgium","Percentage","Share of renewable energy in gross final energy consumption","3,6"
"2008","Belgium","Percentage","Share of renewable energy in transport","0,6"
"2008","Belgium","Percentage","Share of renewable energy in electricity","4,6"
"2008","Belgium","Percentage","Share of renewable energy in heating and cooling","5,0"
"2008","Bulgaria","Percentage","Share of renewable energy in gross final energy consumption","10,5"
"2008","Bulgaria","Percentage","Share of renewable energy in transport","0,9"
"2008","Bulgaria","Percentage","Share of renewable energy in electricity","10,0"
"2008","Bulgaria","Percentage","Share of renewable energy in heating and cooling","17,3"
"2008","Czechia","Percentage","Share of renewable energy in gross final energy consumption","8,6"
"2008","Czechia","Percentage","Share of renewable energy in transport","2,7"
"2008","Czechia","Percentage","Share of renewable energy in electricity","5,2"
"2008","Czechia","Percentage","Share of renewable energy in heating and cooling","12,9"
"2008","Denmark","Percentage","Share of renewable energy in gross final energy consumption","18,6"
"2008","Denmark","Percentage","Share of renewable energy in transport","0,5"
"2008","Denmark","Percentage","Share of renewable energy in electricity","25,9"
"2008","Denmark","Percentage","Share of renewable energy in heating and cooling","28,1"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in gross final energy consumption","8,6"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in transport","6,4"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","15,0"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in heating and cooling","7,4"
"2008","Estonia","Percentage","Share of renewable energy in gross final energy consumption","18,9"
"2008","Estonia","Percentage","Share of renewable energy in transport","0,2"
"2008","Estonia","Percentage","Share of renewable energy in electricity","2,1"
"2008","Estonia","Percentage","Share of renewable energy in heating and cooling","35,5"
"2008","Ireland","Percentage","Share of renewable energy in gross final energy consumption","4,1"
"2008","Ireland","Percentage","Share of renewable energy in transport","1,3"
"2008","Ireland","Percentage","Share of renewable energy in electricity","11,2"
"2008","Ireland","Percentage","Share of renewable energy in heating and cooling","3,7"
"2008","Greece","Percentage","Share of renewable energy in gross final energy consumption","8,0"
"2008","Greece","Percentage","Share of renewable energy in transport","1,1"
"2008","Greece","Percentage","Share of renewable energy in electricity","9,6"
"2008","Greece","Percentage","Share of renewable energy in heating and cooling","14,3"
"2008","Spain","Percentage","Share of renewable energy in gross final energy consumption","10,8"
"2008","Spain","Percentage","Share of renewable energy in transport","2,2"
"2008","Spain","Percentage","Share of renewable energy in electricity","23,7"
"2008","Spain","Percentage","Share of renewable energy in heating and cooling","11,7"
"2008","France","Percentage","Share of renewable energy in gross final energy consumption","11,3"
"2008","France","Percentage","Share of renewable energy in transport","6,2"
"2008","France","Percentage","Share of renewable energy in electricity","14,4"
"2008","France","Percentage","Share of renewable energy in heating and cooling","13,4"
"2008","Croatia","Percentage","Share of renewable energy in gross final energy consumption","22,0"
"2008","Croatia","Percentage","Share of renewable energy in transport","1,1"
"2008","Croatia","Percentage","Share of renewable energy in electricity","33,9"
"2008","Croatia","Percentage","Share of renewable energy in heating and cooling","28,6"
"2008","Italy","Percentage","Share of renewable energy in gross final energy consumption","11,5"
"2008","Italy","Percentage","Share of renewable energy in transport","2,6"
"2008","Italy","Percentage","Share of renewable energy in electricity","16,6"
"2008","Italy","Percentage","Share of renewable energy in heating and cooling","15,3"
"2008","Cyprus","Percentage","Share of renewable energy in gross final energy consumption","5,1"
"2008","Cyprus","Percentage","Share of renewable energy in transport","1,9"
